id,domain,software,users_count,monthly_active_users
46270,localization.cafe,Mastodon,289,42
29502,dragonchat.org,Mastodon,289,88
27436,social.ridetrans.it,Mastodon,289,57
67581,grypstube.uni-greifswald.de,PeerTube,288,41
52580,nicomedkey.cc,Misskey,288,
52087,virtualkemomimi.net,Misskey,288,
26975,nwb.social,Mastodon,288,8
11294,wug.fun,Mastodon,288,9
75369,audio.pepemoss.com,Funkwhale,287,17
12547,duk.space,Mastodon,286,80
158740,mastodon-tw.com,Mastodon,285,25
66499,suppo.fi,Lemmy,285,14
50429,infosec.press,Writefreely,285,10
24907,mastodon.economiasocial.org,Mastodon,285,86
18671,events.graz.social,Mobilizon,285,
2215,indymotion.fr,PeerTube,285,53
156796,anisaga.life,Mastodon,284,82
17039,foresdon.jp,Mastodon,283,60
78322,nnia.cc,Pleroma,281,89
75263,metreee.com,Misskey,280,
50985,procursus.social,Mastodon,280,36
29539,learningdisability.social,Mastodon,280,7
27825,mendeddrum.org,Mastodon,280,102
75206,pix.ublog.tech,Pixelfed,279,0
19507,social.lumbung.space,Hometown,279,12
88617,hilariouschaos.com,Lemmy,278,27
32791,mefi.social,Hometown,278,87
30482,thecanadian.social,Mastodon,278,134
16188,iwatedon.net,Mastodon,278,11
74860,lokyoski.casacamelia.xyz,Misskey,277,
19546,eveningzoo.club,Pleroma,277,17
65748,peertube.in.ua,PeerTube,276,36
18548,relay.nya.one,Activity-Relay,276,276
18180,mastodon.quebec,Mastodon,276,65
16855,recurse.social,Hometown,276,42
33917,ottawa.place,Hometown,275,72
53479,chunchun.world,Misskey,274,
32268,cville.online,Mastodon,273,17
19632,video-cave-v2.de,PeerTube,272,9
14616,bne.social,Mastodon,272,75
20198,fandom.garden,Mastodon,270,25
16347,mastodon.jalgi.eus,Mastodon,270,26
153863,810video.com,PeerTube,269,49
91134,sajin.life,Pixelfed,269,8
16341,social.net.ua,Pleroma,269,43
17732,masto.donte.com.br,Mastodon,268,93
12591,mstdn.poyo.me,Mastodon,268,49
37747,masto.bg,Mastodon,267,40
17607,diaspodon.fr,Mastodon,267,57
148870,discord.sabach.jp,,265,
145102,oberlausitz.vonunten.org,Mobilizon,264,
32613,foojay.social,Mastodon,264,62
16046,animal-crossing.mastportal.info,Mastodon,262,20
16022,mastodos.com,Mastodon,262,24
72089,lemy.nl,Lemmy,260,8
79945,maniakey.homes,Misskey,259,
49650,zadankai.club,Misskey,259,30
70300,kbin.melroy.org,Mbin,258,41
27975,silversword.online,Mastodon,258,14
73554,fedia.social,Iceshrimp,257,42
33493,forall.social,Mastodon,257,17
17259,p.eertu.be,PeerTube,257,8
46249,cosocial.ca,Mastodon,256,144
83029,cyberpunk.lol,Mastodon,254,96
24541,meteo.social,Mastodon,254,34
158824,yumesuki.net,Misskey,253,
152185,hasu.kaminsskey.jp,Misskey,252,
17983,pipou.academy,Mastodon,252,75
36914,mastdn.social,Mastodon,251,12
45598,social.sndevs.com,Mastodon,250,9
31300,nomanssky.social,Mastodon,250,16
85305,sharkey.world,Sharkey,249,
66263,my-sunshine.video,PeerTube,249,24
53684,eter9.com,Misskey,249,68
46707,possum.city,Sharkey,249,42
72048,mi0.robotician.jp,Misskey,248,
25220,bookwyrm.gatti.ninja,Bookwyrm,248,29
17569,mst3k.interlinked.me,Mastodon,248,5
16547,tiny.tilde.website,Mastodon,248,50
45612,unvernunft.social,Mastodon,246,37
50126,misskey.takehi.to,Misskey,245,4
15680,persadon.com,Mastodon,245,53
74738,kazetak.skladka.net,Funkwhale,244,1
33634,leftodon.social,Hometown,244,36
29099,raphus.social,Mastodon,244,41
28299,lsbt.me,Mastodon,243,64
22512,mastodon.sergal.org,Mastodon,243,5
18916,tv.lumbung.space,PeerTube,243,8
53452,misskey.pm,Iceshrimp,242,7
37469,fairmove.net,Mastodon,242,40
55616,veedeo.org,PeerTube,241,32
13810,unbound.social,Mastodon,241,9
53450,forwriter.homes,Misskey,239,
47398,hoosier.social,Mastodon,238,55
29504,edumasto.org,Mastodon,238,5
28339,toot.lgbt,Mastodon,238,37
26677,wizard.casa,Mitra,238,29
17788,utopia.cool,Mastodon,238,101
35437,ladies.community,Mastodon,237,66
23677,frankfurt.social,Mastodon,237,50
17305,tzcafe.com,Mastodon,237,11
12057,gochisou.photo,Mastodon,237,35
20281,bookwyrm.de,Bookwyrm,236,44
7427,mstdn.uec.tokyo,Mastodon,236,2
150932,privacysafe.social,Mastodon,235,150
53862,fluffy.social,Misskey,235,
35562,dataplatform.social,Mastodon,235,25
11306,unnerv.jp,Mastodon,234,79
145783,portal.digilab.nfa.cz,PeerTube,233,62
71532,myamisskey.ddo.jp,Misskey,233,
27260,skastodon.com,Mastodon,233,21
2169,mofu.kemo.no,Mastodon,233,29
26586,shitpost.cloud,Pleroma,232,35
21056,towns.gay,Mastodon,232,19
161459,piefed.ca,Piefed,231,84
66884,penfount.social,Mastodon,231,29
34043,kotlin.social,Mastodon,231,13
5335,toobnix.org,PeerTube,231,29
32525,mk.arks.cafe,Misskey,230,33
29273,mastodon.iow.social,Mastodon,230,15
16574,heislandmine.work,Mastodon,230,41
1846,hitchtube.fr,PeerTube,230,3
146111,capivarinha.club,Sharkey,229,
33099,episcodon.net,Mastodon,229,17
23653,blahaj.social,Mastodon,228,78
19060,sjtu.closed.social,Mastodon,228,6
35345,elonsucks.org,Mastodon,227,21
5371,shrike.club,Mastodon,227,149
73138,moist.catsweat.com,Mbin,226,11
56843,peertube.nodja.com,PeerTube,226,12
71067,umbracocommunity.social,Mastodon,225,59
15869,polyglot.city,Hometown,225,55
75655,bw.heraut.eu,Bookwyrm,224,44
152592,techniclip.com,Cherrypick,223,
47763,autistics.life,Mastodon,223,87
9182,climatejustice.global,Mastodon,223,79
65343,instafops.net,Pixelfed,221,13
36533,social.sunet.se,Mastodon,221,16
31828,mastodon.teia.art,Mastodon,221,10
80078,labyrinth.zone,Akkoma,220,84
36919,okla.social,Mastodon,220,29
9282,social.rebellion.global,Mastodon,220,40
3706,videos.scanlines.xyz,PeerTube,220,8
87880,misskeymint.net,Misskey,219,
3652,social.up.edu.ph,Hometown,219,4
150015,cuddly.tube,PeerTube,218,38
49162,muso.social,Mastodon,218,3
19830,m.moec.top,Misskey,218,20
90057,town.voyager.blue,Mastodon,217,114
27703,thepit.social,Mastodon,217,55
1797,zhub.link,Mastodon,217,33
47684,lea.pet,Sharkey,216,44
33698,babyfurs.social,Mastodon,216,30
23959,orwell.fun,Pleroma,216,23
16521,agenda.collectifs.net,Mobilizon,216,
47221,derg.social,Sharkey,215,57
29253,comunidad.nvda.es,Mastodon,215,83
14171,snaggletooth.life,Mastodon,215,25
81511,git.catvibers.me,Forgejo,214,2
33309,fursuits.online,Mastodon,214,49
17482,mstdn.schoolidol.club,Mastodon,213,9
35204,songbird.cloud,Mastodon,212,86
30763,poliversity.it,Mastodon,212,90
27019,wikis.world,Mastodon,212,101
18695,feedbeat.me,Mastodon,212,35
84751,misskey.suzuri.jp,Misskey,211,
72354,lazysoci.al,Lemmy,211,17
34473,mastodon.sg,Mastodon,211,41
14879,leftist.network,Mastodon,211,14
16750,mastodon.roflcopter.fr,Mastodon,210,20
85229,mobilizon.agdersam.no,Mobilizon,209,
183195,domi.love,Misskey,208,
154102,linux-nerds.org,NodeBB,208,3
23759,piipitin.fi,Mastodon,208,45
71613,houshindai.net,Misskey,207,
25077,nightcord.de,Mastodon,207,17
52536,misskey.fusenstage.com,Misskey,205,
18911,m.kirishima.cloud,Misskey,204,
17099,aana.site,Mastodon,204,22
1699,w3c.social,Mastodon,204,77
68340,thebrainbin.org,Mbin,203,27
18058,stars.eroaward.com,Mastodon,203,2
165,blackrock.city,Mastodon,203,1
91097,c.dup.bz,,202,151
53078,mi.c-at.jp,Misskey,202,
45396,ayom.media,Mastodon,202,47
823,hubzilla.eskimo.com,Hubzilla,202,21
161771,piefed.zip,Piefed,200,101
159295,write.otter.homes,Writefreely,200,9
28842,frontrange.co,Mastodon,200,47
19305,mobilizon.extinctionrebellion.fr,Mobilizon,200,
2969,masto.social,Mastodon,200,13
167720,klimatkalendern.nu,Mobilizon,199,
53393,books.infosec.exchange,Bookwyrm,199,16
36677,bertha.social,Mastodon,199,79
17565,dads.cool,Hometown,197,40
66771,alaskan.social,Mastodon,196,57
47232,faf.photos,Pixelfed,196,1
16115,autonomous.zone,Mastodon,196,62
89612,aggregatet.org,Lemmy,195,9
80336,ikebukuro.city,Mastodon,195,67
53918,social.onlinesession.app,Misskey,195,
31650,mstdn.ro,Mastodon,195,27
17654,x0r.be,Mastodon,195,31
85829,fedigroups.social,Mastodon,194,184
32064,23.illuminati.org,Mastodon,194,12
17518,cloudisland.nz,Mastodon,194,122
158293,ug4v.com,Misskey,193,
20257,mstdn.moe,Mastodon,193,14
31850,electroverse.tech,Mastodon,190,20
22219,port.mk,Misskey,189,11
1634,social.lainon.life,Pleroma,189,10
46845,gayfr.social,Mastodon,188,64
16055,mastodon.kitchen,Mastodon,188,38
161305,neondystopia.world,Misskey,187,
30938,genderheretics.xyz,Pleroma,187,11
147781,critter.cafe,Mastodon,186,115
146663,blog.tib.eu,WordPress,186,146
28354,gamedev.lgbt,Mastodon,186,63
19512,tacobelllabs.net,Mastodon,186,89
8062,m-i.im,Mastodon,186,49
2163,mastodon.matrix.org,Mastodon,186,7
169324,mastox.eu,Mastodon,185,180
54294,buecher.pnpde.social,Bookwyrm,185,37
23596,brandenburg.social,Mastodon,185,46
144362,graffitiwall.net,Sharkey,184,1
54530,no-pony.farm,Mastodon,184,6
75688,social.uibk.ac.at,Mastodon,183,44
45799,quakers.social,Mastodon,183,16
82520,mastodon.galileivr.org,Mastodon,182,11
75520,yodangang.express,Cherrypick,182,
33122,f.cz,Mastodon,182,82
32140,creators.social,Mastodon,182,11
27417,3dp.chat,Mastodon,182,21
36478,t.chadole.com,Mastodon,181,16
28930,tuiter.rocks,Mastodon,180,122
17522,homoo.social,Mastodon,180,34
6577,whinge.town,Pleroma,180,13
87123,music-social.com,Mastodon,179,178
66194,arabi.gay,Mastodon,179,19
45346,mastodon.ph,Mastodon,179,13
31753,social.garudalinux.org,Mastodon,179,8
14501,medievalist.masto.host,Mastodon,179,20
55440,mkkey.net,Firefish,178,96
53022,technodon.org,Mastodon,178,22
29234,earpnation.social,Mastodon,178,1
159144,mastodon.slg-aachen.de,Mastodon,177,8
154775,friendica.io,Friendica,177,32
154048,organisera.org,Mobilizon,177,
53891,misskey.vocalodon.net,Misskey,177,30
77738,ecologie.social,Mastodon,176,11
19292,umas.social,Mastodon,176,3
4334,hub.art3mis.de,Hubzilla,176,4
49328,pixels.gsi.li,Pixelfed,175,4
65395,himagine.club,Iceshrimp,174,28
37119,social.y-gallery.net,Mastodon,174,44
7170,code4lib.social,Mastodon,174,28
6706,mstdn.superspeed-fall.com,Mastodon,174,15
164328,mo-me.social,Mastodon,173,173
48921,devianze.city,Mastodon,173,40
34150,guild.pmdcollab.org,Mastodon,173,19
157210,plushie.town,Mastodon,172,63
25614,mobilize.adminforge.de,Mobilizon,172,
16356,dline.xyz,Pleroma,172,1
51882,hydrate.space,Mastodon,171,2
163529,chiranote.com,Misskey,170,
161953,post.hr,Kmyblue,170,27
53539,nfdi.social,Mastodon,170,65
25587,mastodon.hr,Kmyblue,170,27
6689,mastodon.codingfield.com,Mastodon,170,1
148368,occm.work,Mastodon,167,123
82669,vid.northbound.online,PeerTube,167,27
72882,iwshkey.com,Sharkey,167,52
158615,masto.hackers.town,Mastodon,166,143
157553,lemmy.fiftyfifty.one,Lemmy,166,6
33398,ibite.lol,Mastodon,166,13
17477,machikadon.online,Mastodon,166,23
70257,digipres.cafe,Lemmy,165,0
66057,www.vnshow.net,PeerTube,165,1
35940,agilealliance.social,Mastodon,165,13
16233,video.anartist.org,PeerTube,165,18
15970,write.allships.run,Plume,165,
15887,balkan.fedive.rs,Mastodon,165,19
