org_id,count
ORG-JAHP1-AP-APNIC,13005
@aut-9916-APNIC,905
ORG-LA267-RIPE,28074
ORG-ACAA2-RIPE,1164
ORG-RMP1-RIPE,136
ORG-TO2-RIPE,465
@aut-63760-APNIC,11553
ORG-CES3-RIPE,7316
WZCOM-ARIN,23900
UNIVER-193-ARIN,1311
ORG-SW1-RIPE,5446
ORG-GLSS1-RIPE,12995
LIMES-2-ARIN,5045
CORPO-6-ARIN,182
ORG-ATS24-RIPE,884
@aut-140641-APNIC,910
ORG-EBNS1-AP-APNIC,7805
@aut-135822-APNIC,2339
ORG-DL127-RIPE,3238
DIMEN-6-ARIN,26371
ORG-NS224-RIPE,160
@aut-134316-APNIC,1
ORG-WG78-RIPE,889
NTTAM-1-ARIN,1698
ORG-DS36-RIPE,482
ORG-WDCC1-AP-APNIC,3361
RACKS-8-ARIN,37910
ORG-ARTE1-RIPE,173
ORG-SI1-RIPE,5211
ORG-DCL11-RIPE,48
TCLOU-ARIN,2331
PER1-ARIN,15462
PROQU-3-ARIN,48
ORG-EL294-RIPE,241
ORG-MR252-RIPE,1498
ORG-AD50-RIPE,3151
ORG-TDS7-RIPE,5325
@aut-2514-JPNIC,14047
ORG-IIIC1-RIPE,1125
ORG-HKCI2-AP-APNIC,1010
ORG-RA33-RIPE,15888
@aut-23824-JPNIC,9181
ORG-CL59-RIPE,304
ORG-CAA36-RIPE,1027
INFB-ARIN,4733
ORG-PO1-RIPE,7414
ORG-NL21-RIPE,5265
ORG-BTPL9-AP-APNIC,1924
ORG-HOA1-RIPE,731581
@aut-2497-JPNIC,13362
ORG-WS165-RIPE,72
ORG-GA22-RIPE,2469
ORG-AIS18-RIPE,858
HOSTC-5-ARIN,1825
ORG-WCIS7-RIPE,19013
ORG-NSPL10-AP-APNIC,4882
ORG-JP41-RIPE,1271
@aut-137294-APNIC,211
ORG-CG61-RIPE,6504
ORG-CISU3-RIPE,546
ORG-ITCO1-RIPE,118
ORG-GS370-RIPE,315
ORG-SISL20-RIPE,4070
ORG-IG3-RIPE,97
ORG-ML377-RIPE,843
PAGEB-4-ARIN,3352
HRL-23-ARIN,928
ORG-BECL1-AP-APNIC,2269
ORG-RNB1-RIPE,3360
ORG-WUL3-RIPE,4508
CTS-96-ARIN,1446
ORG-ICA1-RIPE,11856
ORG-TA154-RIPE,1212
SOFTL-ARIN,48065
ORG-ITCP1-RIPE,5717
ORG-FNS11-RIPE,1726
@aut-24287-JPNIC,4034
