org_id,count
KABSI-AS,1066
NETWORKDYNAMICS-PTY-LTD-AS-AP,839
UR,982
abstract,9700
NASK-COMMERCIAL,18823
INFOCO-COLRUYT-AS,366
wix_com,14896
SYRACUSE-UNIVERSITY,836
PETERSTAR-AS,1092
SEFROYEKPARDAZENG-AS,4977
MICSNET,39
AsacAS01,1675
RACKFOREST-AS,33547
VolvoITJapan,692
SKHOSTING-EU,389
irandata,1238
DELTA-BG-AS,4434
cat-Cloud-AP,23047
DETELNETWORKS-ID,406
AIR,1275
SI-ARCTUR,1349
COLO-AS-AP,30365
IDNIC-JALANET-AS-ID,3485
EMIRATES-INTERNET,38612
VODAFONE-IT-ASN,1926
upress-drb,7209
KUALO-AS,664
UK2NET-AS,21207
ASAHI-NET,1113
RUSONYX-AERO,8633
FAST-TELCO,896
TWO-DEGREES-AS-AP,8998
Prime-Telecom-AS,1138
GDRPL-IN,1667
LEASEWEB-APAC-SIN-11,6918
TIGERTECH,5488
DHH-AS,38990
POP-IDC-TH,2808
PULSANT-AS,11622
OTENET-GR,7823
SDV-AS,3037
DATECS-AS,26
RELIANCEJIO-IN,1827
DEPKOMINFO-AS-ID,450
NESSUS,15284
CJNET-AS,2380
IHNET-EU,135
GBNETWORK-AS-AP,925
PSU-TH-AS-AP,366
ERX-CERNET-BKB,23785
FinanzInformatik-AS-Nord,2352
SUNET,6299
ClausWEB,10563
UIDAI-AS-IN,820
VOXILITY,5936
IWAY,2224
STORMWALL-AS,1379
NETDIREKT-AS,7404
COMNET-TH,1799
SEANET-AS,64
AS3585,472
RGNET-SEA,809
UNIBRAW-AS-ID,2416
CHINATELECOM-SHANDONG-JINAN-IDC,1858
GOVSK-AS,777
NANO-AS,6950
IIUM-MY,442
TGC-AS,74
AIR-MOLDOVA-AS,48
REEDELSEVIER-AUSTRALIA,4740
MIND,1050
CITYHOST-AS,3279
EURONIC,6302
CLOUDING,4076
AT-CLOUD,2069
CIREX,639
MTTELECOM-AS,8059
DNSNET,960
DOMREG-UNI-AS,2975
PLANET-SERVICE,2975
NAMESHIELD,52470
mono,3354
CDT-AS,834
NETERRA-AS,1972
WEBWERKS-AS-IN,2907
BanqTech-AS,234
RACKFIBER,3735
DE-FIRSTCOLO,10654
TISCALI-UK,117
CCI-PARIS,49
MEDIAWARS,1319
HARENET,141
ROSTELECOM-AS,11118
MOVIEMENT,8210
O2-ONLINE-AS,1084
MT-DC-AS,3647
PROSODIEIBERICA-AS,1424
METRONET-AS,1203
GD-EMEA-DC-SXB1,61510
SWISSCOM,17925
UNIFIEDLAYER-AS-1,189618
MWNASHIK-AS,2285
NETLOGIC-AS,776
TARRCI-AS,3365
SmartApe,5042
E2E-NETWORKS-IN,4700
CSLOXINFO-AS-AP,6023
